,App_Names,Reviews,Size,Price,Last Updated,Minimum Android Version,install,Content,som_clut,Final_clust
0,Smart Foods Organic Diet Buddy,411,30.0,0.0,79,3.0,50000,0,49,3
1,Google Fit: Health and Activity Tracking,292197,25.270662905500703,0.0,33,4.142857142857143,10000000,0,15,1
2,Pedometer,469421,3.3,0.0,33,4.0,10000000,0,15,1
3,"Calorie Counter - MyNetDiary, Food Diary Tracker",30925,26.0,0.0,34,5.0,1000000,0,39,1
4,Map My Hike GPS Hiking,14451,69.0,0.0,32,5.0,1000000,0,40,1
5,MyPlate Calorie Tracker,30788,21.0,0.0,34,4.0,1000000,0,4,1
6,Lose It! - Calorie Counter,75978,37.0,0.0,33,4.142857142857143,10000000,0,13,1
7,Health and Nutrition Guide,7959,3.3,0.0,41,4.0,500000,0,18,1
8,Runtastic Mountain Bike GPS Tracker,51068,38.0,0.0,40,4.0,1000000,0,19,1
9,Calorie Counter by FatSecret,262078,25.270662905500703,0.0,33,4.142857142857143,10000000,0,15,1
10,Pacifica - Stress & Anxiety,11626,36.0,0.0,33,5.0,1000000,1,62,6
11,BodBot Personal Trainer:ï¿½Workoutï¿½&ï¿½Fitnessï¿½Coach,9283,38.0,0.0,32,6.0,1000000,1,63,1
12,"AllTrails: Hiking, Running & Mountain Bike Trails",24566,33.0,0.0,33,4.0,1000000,0,6,1
13,Walk with Map My Walk,163199,69.0,0.0,32,5.0,5000000,0,40,1
14,Geocachingï¿½,71292,22.0,0.0,33,4.0,5000000,1,62,6
15,Calorie Counter - MyFitnessPal,2041505,25.270662905500703,0.0,32,4.142857142857143,50000000,0,24,1
16,Runkeeper - GPS Track Run Walk,520354,25.270662905500703,0.0,32,4.142857142857143,10000000,0,23,1
17,Sports Tracker Running Cycling,200884,25.270662905500703,0.0,32,4.142857142857143,10000000,0,22,1
18,"ViewRanger: Trail Maps for Hiking, Biking, Skiing",36494,25.270662905500703,0.0,32,4.142857142857143,1000000,0,13,1
19,Fitbit,441845,25.270662905500703,0.0,32,4.142857142857143,10000000,0,15,1
20,Simple Habit Meditation,25495,13.0,0.0,33,4.0,1000000,0,5,1
21,Runtastic Running App: Run & Mileage Tracker,874924,25.270662905500703,0.0,33,4.142857142857143,10000000,0,23,1
22,Lose Belly Fat in 30 Days - Flat Stomach,144659,10.0,0.0,33,4.0,10000000,0,22,1
23,Plant Nanny - Water Reminder,254816,42.0,0.0,69,4.0,1000000,0,50,3
24,21-Day Meditation Experience,12120,17.0,0.0,33,4.0,500000,0,5,1
25,Relax Melodies: Sleep Sounds,259651,81.0,0.0,33,5.0,10000000,0,32,1
26,"Calm - Meditate, Sleep, Relax",138681,25.270662905500703,0.0,33,4.142857142857143,10000000,0,22,1
27,Step Counter - Pedometer Free & Calorie Counter,202717,5.1,0.0,33,4.0,10000000,0,22,1
28,Daily Workouts - Exercise Fitness Routine Trainer,136264,30.0,0.0,38,4.0,10000000,0,11,1
29,Meditation Studio,1199,29.0,3.99,34,4.0,10000,0,37,4
30,Fabulous: Self Care,225138,36.0,0.0,34,4.0,5000000,0,22,1
31,Progression Workout Tracker,3249,6.3,0.0,56,4.0,100000,0,43,3
32,Lose Weight in 30 Days,328273,9.8,0.0,33,4.0,10000000,0,15,1
33,FitNotes - Gym Workout Log,18749,2.9,0.0,46,4.0,1000000,0,35,3
34,Step Counter - Calorie Counter,5480,1.9,0.0,38,4.0,1000000,0,9,1
35,Lark - 24/7 Health Coach,4082,52.0,0.0,32,4.0,100000,0,6,1
36,Stronglifts 5x5 - Weight Lifting & Gym Workout Log,75580,25.270662905500703,0.0,32,4.142857142857143,1000000,0,13,1
37,C25Kï¿½ - 5K Running Trainer Pro,3346,49.0,2.99,34,6.0,50000,0,46,4
38,Endomondo - Running & Walking,623104,18.0,0.0,33,4.142857142857143,10000000,0,23,1
39,"Meditation Music - Relax, Yoga",60767,28.0,0.0,38,4.0,1000000,0,11,1
40,Om Meditation All-in-One!,19310,4.2,0.0,35,4.0,1000000,0,3,1
41,Six Pack in 30 Days - Abs Workout,446873,8.6,0.0,36,4.0,10000000,1,62,6
42,White Noise Lite,59314,41.0,0.0,36,4.0,1000000,0,12,1
43,7 Minute Workout,406474,25.270662905500703,0.0,34,4.142857142857143,10000000,0,15,1
44,Workout Trainer: fitness coach,100791,25.270662905500703,0.0,34,4.142857142857143,10000000,0,22,1
45,WW (formerly Weight Watchers),373411,52.0,0.0,33,5.0,10000000,0,32,1
46,Pedometer -  Step Counter Free & Calorie Burner,114756,5.3,0.0,35,4.0,10000000,0,3,1
47,Pocket Yoga,2218,25.270662905500703,2.99,72,4.142857142857143,100000,0,58,3
48,Fitwell - 30 Day Fitness Workout Diet Step Counter,10420,25.270662905500703,0.0,32,4.142857142857143,500000,0,13,1
49,Calorie Counter - Asken Diet,624,50.0,0.0,33,4.0,100000,0,6,1
50,Fooducate Healthy Weight Loss & Calorie Counter,15291,25.270662905500703,0.0,34,4.142857142857143,1000000,0,13,1
51,Run with Map My Run,201658,71.0,0.0,32,5.0,10000000,0,32,1
52,Aaptiv: #1 Audio Fitness App,9321,25.270662905500703,0.0,32,4.142857142857143,1000000,0,13,1
53,Running for Weight Loss Walking Jogging my FITAPP,21675,25.270662905500703,0.0,33,4.142857142857143,1000000,1,62,6
54,White Sound Pro,16822,73.0,0.0,40,4.0,500000,0,19,1
55,Instant Heart Rate: HR Monitor & Pulse Checker,301071,25.270662905500703,0.0,37,4.142857142857143,10000000,0,15,1
56,Sleep Cycle: sleep analysis & smart alarm clock,79411,35.0,0.0,32,4.0,1000000,0,6,1
57,10 Best Foods for You,2494,4.4,0.0,33,4.0,500000,2,60,6
58,Self Healing,14645,9.9,0.0,53,4.0,500000,0,34,3
59,Relax Meditation: Calm your Head with White Noise,20657,84.0,2.99,34,5.0,100000,0,46,4
60,Step Counter,2216,1.9,0.0,36,4.0,500000,0,2,1
61,My Chakra Meditation,7730,45.0,0.0,44,2.0,500000,0,25,3
62,Happify,1950,36.0,0.0,33,4.0,100000,0,6,1
63,Under Armour Record,16805,93.0,0.0,34,4.0,1000000,0,7,1
64,Nike Run Club,805620,25.270662905500703,0.0,33,4.142857142857143,10000000,0,23,1
65,Weight Loss Tracker - RecStyle,21675,5.7,0.0,49,4.0,1000000,0,34,3
66,MealLogger-Photo Food Journal,224,25.270662905500703,0.0,33,4.142857142857143,50000,1,62,6
67,Monitor Your Weight,143388,5.2,0.0,33,4.0,5000000,0,22,1
68,Calorie Counter & Diet Tracker,33801,25.270662905500703,0.0,45,4.142857142857143,1000000,0,27,1
69,Relaxing Sounds,4748,40.0,0.0,57,4.0,100000,0,43,3
70,Water Drink Reminder,545706,25.270662905500703,0.0,33,4.142857142857143,10000000,0,23,1
71,Noom: Health & Weight,172100,57.0,0.0,33,4.0,10000000,0,16,1
72,"Strava Training: Track Running, Cycling & Swimming",405950,25.270662905500703,0.0,32,4.142857142857143,10000000,1,62,6
73,Bike Computer - GPS Cycling Tracker,19047,4.6,0.0,35,4.0,1000000,0,3,1
74,Couch to 5K by RunDouble C25K,15910,25.270662905500703,0.0,35,4.142857142857143,1000000,0,12,1
75,RockMyRun - Best Workout Music,8769,38.0,0.0,33,4.0,1000000,1,62,6
76,Charity Miles: Walking & Running Distance Tracker,6640,53.0,0.0,35,4.0,500000,0,12,1
77,Home Workout - No Equipment,682644,10.0,0.0,33,4.0,50000000,0,23,1
78,Simply Yoga - Fitness Trainer for Workouts & Poses,6978,47.0,0.0,38,4.0,1000000,0,11,1
79,Brain Waves - Binaural Beats,5479,5.5,0.0,33,4.0,1000000,0,5,1
80,Runtastic Results Strength Training & Bodyweight,44558,25.270662905500703,0.0,33,4.142857142857143,10000000,0,13,1
81,My Diet Diary Calorie Counter,18616,25.270662905500703,0.0,32,4.0,1000000,0,6,1
82,"YAZIO Calorie Counter, Nutrition Diary & Diet Plan",166725,25.270662905500703,0.0,33,4.142857142857143,5000000,0,22,1
83,Weight Loss Running by Verv,30002,53.0,0.0,33,4.0,1000000,3,60,6
84,"Zombies, Run! 5k Training (Free)",345,25.270662905500703,0.0,36,4.142857142857143,50000,1,62,6
85,Tracks,628,40.0,0.0,53,4.0,50000,2,60,6
86,"Technutri - calorie counter, diet and carb tracker",74861,31.0,0.0,32,4.0,5000000,0,6,1
87,Seven - 7 Minute Workout,80285,25.270662905500703,0.0,33,4.142857142857143,1000000,0,13,1
88,Runtastic Sleep Better: Sleep Cycle & Smart Alarm,118027,25.270662905500703,0.0,37,4.142857142857143,5000000,0,11,1
89,Workout Tracker & Gym Trainer - Fitness Log Book,5823,21.0,0.0,39,4.0,500000,0,10,1
90,Fertility Friend Ovulation App,13534,7.2,0.0,35,4.0,1000000,1,62,6
91,The Bump Pregnancy Tracker,26140,22.0,0.0,34,4.0,1000000,0,4,1
92,Period Tracker - Period Calendar Ovulation Tracker,4824180,25.270662905500703,0.0,33,4.142857142857143,100000000,0,24,1
93,Glow: Fertility Calculator and Ovulation Tracker,59330,36.0,0.0,34,5.0,1000000,0,39,1
94,Pregnancy Tracker,53280,20.0,0.0,33,4.0,1000000,0,5,1
95,Period Tracker,337285,25.270662905500703,0.0,33,4.142857142857143,10000000,0,15,1
96,"Period Tracker Clue: Ovulation, Period Tracker App",637363,18.0,0.0,33,4.0,10000000,0,23,1
97,WomanLog Period Tracker & Calendar,124159,16.0,0.0,34,4.0,5000000,0,22,1
98,"Eve Period Tracker - Love, Sex & Relationships App",22093,36.0,0.0,33,5.0,1000000,1,62,6
99,Workouts at home for woman & man,4869,13.0,0.0,39,4.0,1000000,0,10,1
100,Self-help Anxiety Management,2908,23.0,0.0,58,4.0,500000,2,60,6
101,My Days - Ovulation Calendar & Period Tracker ï¿½,93709,25.270662905500703,0.0,33,4.142857142857143,5000000,0,13,1
102,My Chakra Meditation 2,1302,31.0,0.0,44,2.0,100000,0,25,3
103,Fitbit Coach,33135,60.0,0.0,40,4.0,1000000,0,19,1
104,Prana Breath: Calm & Meditate,42082,7.2,0.0,37,4.0,1000000,0,1,1
105,Female Fitness - Women Workout,101090,11.0,0.0,35,4.0,10000000,0,3,1
106,Easy Sexy Hips and Thighs Diet Meal Plan,3,12.0,0.0,42,4.0,1000,0,18,1
107,7 Days Healthy Heart Meal Plan Diet,7,15.0,0.0,41,4.0,1000,0,18,1
108,SUPER VEGETARIAN MILITARY DIET PLAN,6,14.0,0.0,41,4.0,1000,0,18,1
109,BEST FOOD 4 YOUR BLOOD TYPE,128,30.0,0.0,38,4.0,50000,0,11,1
110,SUPER DASH DIET MEAL PLAN,12,18.0,0.0,41,4.0,10000,0,18,1
111,SUPER SMART SLIMMING DIET,45,13.0,0.0,38,4.0,10000,0,9,1
112,Super Military Diet Plan,272,17.0,0.0,35,4.0,100000,0,3,1
113,Easy South Beach Meal Plan Diet,16,17.0,0.0,38,4.0,1000,0,9,1
114,Runtastic Road Bike PRO,17481,38.0,4.99,40,4.0,100000,0,45,4
115,"Runtastic Balance Calorie Calculator, Food Tracker",15453,25.270662905500703,0.0,34,4.142857142857143,1000000,0,13,1
116,Runtastic Road Bike Trails & GPS Bike Tracker,92394,38.0,0.0,40,4.0,5000000,0,19,1
117,"Runtastic PRO Running, Fitness",218186,25.270662905500703,4.99,33,4.142857142857143,1000000,0,45,4
118,Runtastic Six Pack Abs Workout & AbTrainer,122673,25.270662905500703,0.0,41,4.0,5000000,0,18,1
119,Runtastic Push-Ups Workout PRO,25780,17.0,1.99,41,4.0,100000,0,36,1
120,Runtastic Butt Trainer Workout,17562,25.270662905500703,0.0,41,4.0,1000000,0,18,1
121,Runtastic Mountain Bike PRO,16656,38.0,4.99,40,4.0,100000,0,45,4
122,Runtastic Steps - Step Tracker & Pedometer,29925,25.270662905500703,0.0,37,4.142857142857143,1000000,0,11,1
123,Runtastic Workout Timer App,50061,9.2,0.0,105,2.0,1000000,0,57,5
124,Runtastic Heart Rate PRO,14083,25.270662905500703,1.99,41,4.142857142857143,100000,0,36,1
125,Runtastic Squats Workout PRO,9076,17.0,1.99,41,4.0,100000,0,36,1
126,Runtastic Pull-ups Workout PRO,3552,17.0,1.99,41,4.0,100000,0,36,1
127,Runtastic Sit-ups & Abs PRO,15380,17.0,1.99,41,4.0,100000,0,36,1
128,Runtastic Push-Ups Counter & Exercises,82072,17.0,0.0,41,4.0,1000000,0,18,1
129,HelloSleepï¿½ by ResMed,1,35.0,0.0,34,4.0,10,0,12,1
130,BMI Calculator,235,2.3,0.0,33,4.0,10000,0,5,1
131,Night Filter: Bluelight Filter,57,526.0,0.0,62,4.0,1000,0,8,2
132,Rain Sounds - Sleep Ambiance,9110,8.3,0.0,67,4.0,100000,0,50,3
133,??-????????,1,24.0,0.0,43,4.0,500,0,27,1
134,Bluelight Filter - Eye Care,37843,3.3,0.0,33,4.0,500000,0,5,1
135,Baby Sleep - White Noise,17612,14.0,0.0,32,4.0,1000000,0,14,1
136,Sleep Sounds,75449,29.0,0.0,38,4.0,1000000,0,11,1
137,"Sleepo: Relaxing sounds, Sleep",43553,26.0,0.0,38,4.0,1000000,0,11,1
138,UO Healthfit,74,30.0,0.0,44,4.0,10000,0,27,1
139,SKT ?????,667,8.4,0.0,43,4.0,10000,0,27,1
140,Viktklubb,316,9.1,0.0,33,5.0,50000,0,48,1
141,Zeopoxa Pull Ups,41,3.9,0.0,33,5.0,5000,0,48,1
142,Push Ups Workout,2007,3.9,0.0,33,5.0,100000,0,48,1
143,Running & Jogging,14419,4.8,0.0,33,5.0,1000000,0,48,1
144,Pedometer - Step Counter,3947,4.9,0.0,33,5.0,500000,0,48,1
145,Cycling - Bike Tracker,20323,4.9,0.0,33,5.0,1000000,0,48,1
146,Squats Workout,97,3.9,0.0,33,5.0,5000,0,48,1
147,Sit Ups Abs Workout,221,4.0,0.0,33,5.0,10000,0,48,1
148,Human Body System,463,7.1,0.0,61,2.0,50000,0,41,3
149,Garmin Connectï¿½,343464,25.270662905500703,0.0,33,4.142857142857143,10000000,0,15,1
150,vï¿½vofit jr.,3717,73.0,0.0,33,5.0,100000,0,40,1
151,CANINE,78,34.0,0.0,39,4.0,5000,0,11,1
152,Blink Fit,948,20.0,0.0,33,5.0,10000,0,48,1
153,Timex | Blink,300,17.0,0.0,33,5.0,10000,0,48,1
154,Interval Timer ? HIIT Training,4815,14.0,0.0,38,4.0,500000,0,9,1
155,Sanitas En Casa Contigo,8,14.0,0.0,36,4.0,500,0,2,1
156,Sanitas Mayores-App Familiares,43,54.0,0.0,39,5.0,5000,0,47,1
157,Mi Sanitas,2629,67.0,0.0,33,4.0,100000,0,7,1
158,ReliOn Life,431,10.0,0.0,38,5.0,10000,0,47,1
159,Alarm Clock,34615,11.0,0.0,32,4.0,1000000,0,14,1
160,Once -A special period tracker,22089,11.0,0.0,33,4.0,1000000,3,60,6
161,Pachamanga,876,2.6,0.0,57,4.0,50000,0,43,3
162,"JEFIT Workout Tracker, Weight Lifting, Gym Log App",64323,29.0,0.0,33,4.0,5000000,1,62,6
163,30 Day Fitness Challenge - Workout at Home,501291,12.0,0.0,34,4.0,10000000,0,23,1
164,"Freeletics: Workout, Fitness & Bodyweight Loss App",151687,14.0,0.0,33,5.0,10000000,0,48,1
165,Headspace: Meditation & Sleep,98020,31.0,0.0,33,4.0,10000000,0,22,1
166,What's Up? - Mental Health App,2978,9.8,0.0,64,2.0,100000,0,41,3
167,MyBSWHealth,3116,50.0,0.0,32,5.0,100000,0,40,1
168,SYNC GO,144,19.0,0.0,33,4.0,10000,0,5,1
169,Happy Pregnancy Ticker,8376,6.9,0.0,57,2.0,1000000,0,41,3
170,Impact - Walk-Jog-Run for Fitness & Charity.,7743,11.0,0.0,33,4.0,100000,0,5,1
171,C25Kï¿½ - 5K Running Trainer,48642,50.0,0.0,36,6.0,1000000,0,64,1
172,The Walk: Fitness Tracker Game (Free),109,55.0,0.0,40,4.0,10000,1,62,6
173,"Zombies, Run! (Free)",18395,25.270662905500703,0.0,37,4.142857142857143,1000000,1,62,6
174,DrBerg,730,28.0,0.0,35,5.0,50000,0,39,1
175,cronometer,1029,9.4,0.0,32,4.0,100000,0,14,1
176,Best Boiled Egg Diet Plan,315,14.0,0.0,35,4.0,100000,0,3,1
177,Naturally Slim,613,24.0,0.0,33,6.0,50000,0,64,1
178,"ClassPass: Try Fitness - Boxing, Yoga, Spin & More",3115,41.0,0.0,33,4.0,100000,0,6,1
179,StepsApp Pedometer,5865,35.0,0.0,34,7.0,100000,0,64,1
180,Huawei Health,73771,25.270662905500703,0.0,33,4.0,100000000,0,16,1
181,"Period Tracker, Ovulation Calendar & Fertility app",108137,14.0,0.0,33,4.0,5000000,0,22,1
182,Joywear,748,16.0,0.0,33,4.0,100000,0,5,1
183,Map My Ride GPS Cycling Riding,114575,69.0,0.0,32,5.0,5000000,0,40,1
184,Map My Fitness Workout Trainer,41548,69.0,0.0,32,5.0,1000000,0,40,1
185,Huawei Wear,23604,25.270662905500703,0.0,43,4.142857142857143,5000000,0,27,1
186,NBA FIT,627,87.0,0.0,33,4.0,100000,0,7,1
187,Mindfulness Coach,1430,97.0,0.0,38,4.0,100000,0,20,1
188,Meditation & Relaxation: Guided Meditation,32409,25.270662905500703,0.0,38,5.0,1000000,0,47,1
189,Pill Reminder and Medication Tracker by Medisafe,181099,25.270662905500703,0.0,33,4.142857142857143,1000000,0,22,1
190,Polar Flow ï¿½ Sync & Analyze,79424,25.270662905500703,0.0,32,4.142857142857143,1000000,0,13,1
191,LG Health,22506,25.0,0.0,33,4.0,10000000,0,6,1
192,Virgin Pulse,28545,17.0,0.0,33,5.0,500000,0,48,1
193,Lifelog,329031,13.0,0.0,34,4.0,10000000,0,15,1
194,Chuze Fitness,1947,38.0,0.0,34,5.0,100000,0,39,1
195,Six Pack in 30 Days,28657,56.0,0.0,32,4.0,1000000,0,6,1
196,7 Minute Abs Workout - Six Pack in 30 Days,2770,26.0,0.0,33,4.0,100000,3,60,6
197,Casual dieting-weight manager-,21247,15.0,0.0,76,4.0,1000000,0,50,3
198,CrossX,723,34.0,0.0,35,4.0,100000,1,62,6
199,Relaxing Music: Sleep Sounds,7070,84.0,0.0,33,4.0,500000,0,7,1
200,White Noise: Sleep Sounds,2418,53.0,0.0,33,4.0,100000,0,6,1
201,Nature Sounds,19235,42.0,0.0,33,4.0,1000000,0,6,1
202,Atmosphere: Relaxing Sounds,42242,59.0,0.0,42,4.0,1000000,0,19,1
203,Mitt SiO,11,14.0,0.0,33,5.0,5000,0,48,1
204,Digital fullmakt,6,8.7,0.0,43,4.0,1000,0,27,1
205,Die 28 Dae Eetplan Resepteboek,9,14.0,7.49,46,4.0,500,0,45,4
206,Low FODMAP diet A to Z food list for IBS sufferers,936,3.3,0.0,33,4.0,50000,0,5,1
207,Macros - Calorie Counter & Meal Planner,3043,7.5,0.0,33,4.0,500000,0,5,1
208,Carb Manager - Keto & Low Carb Diet Tracker,21951,11.0,0.0,33,6.0,1000000,0,64,1
209,Owlet Baby Care,6390,46.0,0.0,42,4.0,100000,0,19,1
210,Gebelik Takibim,118,6.3,0.0,38,4.0,50000,0,9,1
211,Darker (Screen Filter),15642,25.270662905500703,0.0,46,4.142857142857143,1000000,0,35,3
212,iTrackBites: Smart Weight Loss,4668,24.0,0.0,33,4.0,100000,0,5,1
213,"GPS Sports Tracker App: running, walking, cycling",8138,13.0,0.0,33,4.0,500000,0,5,1
214,Insight Timer - Free Meditation App,28275,25.270662905500703,0.0,32,4.142857142857143,1000000,0,13,1
215,"Stop, Breathe & Think: Meditation & Mindfulness",9354,14.0,0.0,33,5.0,1000000,0,48,1
216,"The Mindfulness App: relax, calm, focus and sleep",8687,25.270662905500703,0.0,34,4.142857142857143,1000000,0,13,1
217,Fitness & Bodybuilding,122239,61.0,0.0,33,4.0,10000000,0,16,1
218,SimpleWeight - Recording Diet,851,6.4,0.0,41,4.0,100000,0,18,1
219,Weight Loss Tracker & BMI Calculator ï¿½ WeightFit,1493,3.9,0.0,34,5.0,100000,0,48,1
220,Health Aide,77,10.0,0.0,41,4.0,1000,0,18,1
221,Strength Training by Muscle & Motion,1222,89.0,0.0,33,4.0,100000,0,7,1
222,Brain Waves Pro Binaural Beats,103,4.6,2.99,33,4.0,5000,0,37,4
223,Binaural Beats,254,2.3,0.0,39,2.0,10000,0,25,3
224,Sleep Hypnosis Music for Relax,748,72.0,0.0,33,4.0,100000,0,7,1
225,Noise Wall - Block Noise,620,2.1,0.0,37,5.0,100000,0,39,1
226,Atmosphere: Binaural Therapy Meditation,5674,39.0,0.0,33,4.0,100000,0,6,1
227,Mi Fit,347512,68.0,0.0,33,4.0,10000000,0,16,1
228,Huawei Body Fat Scale,1230,20.0,0.0,40,4.0,100000,0,10,1
229,VeryFitPro,32594,32.0,0.0,32,4.0,1000000,0,6,1
230,"Period Tracker Flo, Pregnancy & Ovulation Calendar",858492,52.0,0.0,33,4.0,10000000,0,23,1
231,Natural Medicines for Health,208,9.3,0.0,36,4.0,100000,0,2,1
232,F45 Challenge,1231,10.0,0.0,33,4.0,50000,0,5,1
233,Tabata HIIT. Interval Timer,6676,3.5,0.0,32,4.0,500000,0,14,1
234,Tabata Timer: Interval Timer Workout Timer HIIT,56266,10.0,0.0,34,4.0,1000000,0,4,1
235,Seconds - Interval Timer for HIIT & Tabata,6996,5.6,0.0,34,5.0,500000,0,48,1
236,Tabata Timer for HIIT,62164,12.0,0.0,33,3.0,1000000,0,17,1
237,Interval Timer,54934,949.0,0.0,42,4.0,1000000,0,8,2
238,Diet and Health - Lose Weight,112484,25.270662905500703,0.0,32,4.0,5000000,0,22,1
239,Numi - Weight Loss with Exercises,1269,27.0,0.0,32,5.0,100000,0,48,1
240,Health Drink Water Reminder: Daily Habit Tracker,37,6.2,0.0,33,4.0,10000,0,5,1
241,myHUT,2014,11.0,0.0,35,4.0,100000,0,3,1
242,"Sadhguru - Yoga, Meditation & Spirituality",13861,23.0,0.0,33,4.0,1000000,0,5,1
243,"Meditation + Concentration, timer, music, relax",2204,14.0,0.0,33,4.0,100000,0,5,1
