"","Reviews","Size","Price","Last.Updated","Minimum.Android.Version","install","Content"
"1",411,30,0,79,3,50000,0
"2",292197,25.2706629055007,0,33,4.14285714285714,10000000,0
"3",469421,3.3,0,33,4,10000000,0
"4",30925,26,0,34,5,1000000,0
"5",14451,69,0,32,5,1000000,0
"6",30788,21,0,34,4,1000000,0
"7",75978,37,0,33,4.14285714285714,10000000,0
"8",7959,3.3,0,41,4,500000,0
"9",51068,38,0,40,4,1000000,0
"10",262078,25.2706629055007,0,33,4.14285714285714,10000000,0
"11",11626,36,0,33,5,1000000,1
"12",9283,38,0,32,6,1000000,1
"13",24566,33,0,33,4,1000000,0
"14",163199,69,0,32,5,5000000,0
"15",71292,22,0,33,4,5000000,1
"16",2041505,25.2706629055007,0,32,4.14285714285714,50000000,0
"17",520354,25.2706629055007,0,32,4.14285714285714,10000000,0
"18",200884,25.2706629055007,0,32,4.14285714285714,10000000,0
"19",36494,25.2706629055007,0,32,4.14285714285714,1000000,0
"20",441845,25.2706629055007,0,32,4.14285714285714,10000000,0
"21",25495,13,0,33,4,1000000,0
"22",874924,25.2706629055007,0,33,4.14285714285714,10000000,0
"23",144659,10,0,33,4,10000000,0
"24",254816,42,0,69,4,1000000,0
"25",12120,17,0,33,4,500000,0
"26",259651,81,0,33,5,10000000,0
"27",138681,25.2706629055007,0,33,4.14285714285714,10000000,0
"28",202717,5.1,0,33,4,10000000,0
"29",136264,30,0,38,4,10000000,0
"30",1199,29,3.99,34,4,10000,0
"31",225138,36,0,34,4,5000000,0
"32",3249,6.3,0,56,4,100000,0
"33",328273,9.8,0,33,4,10000000,0
"34",18749,2.9,0,46,4,1000000,0
"35",5480,1.9,0,38,4,1000000,0
"36",4082,52,0,32,4,100000,0
"37",75580,25.2706629055007,0,32,4.14285714285714,1000000,0
"38",3346,49,2.99,34,6,50000,0
"39",623104,18,0,33,4.14285714285714,10000000,0
"40",60767,28,0,38,4,1000000,0
"41",19310,4.2,0,35,4,1000000,0
"42",446873,8.6,0,36,4,10000000,1
"43",59314,41,0,36,4,1000000,0
"44",406474,25.2706629055007,0,34,4.14285714285714,10000000,0
"45",100791,25.2706629055007,0,34,4.14285714285714,10000000,0
"46",373411,52,0,33,5,10000000,0
"47",114756,5.3,0,35,4,10000000,0
"48",2218,25.2706629055007,2.99,72,4.14285714285714,100000,0
"49",10420,25.2706629055007,0,32,4.14285714285714,500000,0
"50",624,50,0,33,4,100000,0
"51",15291,25.2706629055007,0,34,4.14285714285714,1000000,0
"52",201658,71,0,32,5,10000000,0
"53",9321,25.2706629055007,0,32,4.14285714285714,1000000,0
"54",21675,25.2706629055007,0,33,4.14285714285714,1000000,1
"55",16822,73,0,40,4,500000,0
"56",301071,25.2706629055007,0,37,4.14285714285714,10000000,0
"57",79411,35,0,32,4,1000000,0
"58",2494,4.4,0,33,4,500000,2
"59",14645,9.9,0,53,4,500000,0
"60",20657,84,2.99,34,5,100000,0
"61",2216,1.9,0,36,4,500000,0
"62",7730,45,0,44,2,500000,0
"63",1950,36,0,33,4,100000,0
"64",16805,93,0,34,4,1000000,0
"65",805620,25.2706629055007,0,33,4.14285714285714,10000000,0
"66",21675,5.7,0,49,4,1000000,0
"67",224,25.2706629055007,0,33,4.14285714285714,50000,1
"68",143388,5.2,0,33,4,5000000,0
"69",33801,25.2706629055007,0,45,4.14285714285714,1000000,0
"70",4748,40,0,57,4,100000,0
"71",545706,25.2706629055007,0,33,4.14285714285714,10000000,0
"72",172100,57,0,33,4,10000000,0
"73",405950,25.2706629055007,0,32,4.14285714285714,10000000,1
"74",19047,4.6,0,35,4,1000000,0
"75",15910,25.2706629055007,0,35,4.14285714285714,1000000,0
"76",8769,38,0,33,4,1000000,1
"77",6640,53,0,35,4,500000,0
"78",682644,10,0,33,4,50000000,0
"79",6978,47,0,38,4,1000000,0
"80",5479,5.5,0,33,4,1000000,0
"81",44558,25.2706629055007,0,33,4.14285714285714,10000000,0
"82",18616,25.2706629055007,0,32,4,1000000,0
"83",166725,25.2706629055007,0,33,4.14285714285714,5000000,0
"84",30002,53,0,33,4,1000000,3
"85",345,25.2706629055007,0,36,4.14285714285714,50000,1
"86",628,40,0,53,4,50000,2
"87",74861,31,0,32,4,5000000,0
"88",80285,25.2706629055007,0,33,4.14285714285714,1000000,0
"89",118027,25.2706629055007,0,37,4.14285714285714,5000000,0
"90",5823,21,0,39,4,500000,0
"91",13534,7.2,0,35,4,1000000,1
"92",26140,22,0,34,4,1000000,0
"93",4824180,25.2706629055007,0,33,4.14285714285714,100000000,0
"94",59330,36,0,34,5,1000000,0
"95",53280,20,0,33,4,1000000,0
"96",337285,25.2706629055007,0,33,4.14285714285714,10000000,0
"97",637363,18,0,33,4,10000000,0
"98",124159,16,0,34,4,5000000,0
"99",22093,36,0,33,5,1000000,1
"100",4869,13,0,39,4,1000000,0
"101",2908,23,0,58,4,500000,2
"102",93709,25.2706629055007,0,33,4.14285714285714,5000000,0
"103",1302,31,0,44,2,100000,0
"104",33135,60,0,40,4,1000000,0
"105",42082,7.2,0,37,4,1000000,0
"106",101090,11,0,35,4,10000000,0
"107",3,12,0,42,4,1000,0
"108",7,15,0,41,4,1000,0
"109",6,14,0,41,4,1000,0
"110",128,30,0,38,4,50000,0
"111",12,18,0,41,4,10000,0
"112",45,13,0,38,4,10000,0
"113",272,17,0,35,4,100000,0
"114",16,17,0,38,4,1000,0
"115",17481,38,4.99,40,4,100000,0
"116",15453,25.2706629055007,0,34,4.14285714285714,1000000,0
"117",92394,38,0,40,4,5000000,0
"118",218186,25.2706629055007,4.99,33,4.14285714285714,1000000,0
"119",122673,25.2706629055007,0,41,4,5000000,0
"120",25780,17,1.99,41,4,100000,0
"121",17562,25.2706629055007,0,41,4,1000000,0
"122",16656,38,4.99,40,4,100000,0
"123",29925,25.2706629055007,0,37,4.14285714285714,1000000,0
"124",50061,9.2,0,105,2,1000000,0
"125",14083,25.2706629055007,1.99,41,4.14285714285714,100000,0
"126",9076,17,1.99,41,4,100000,0
"127",3552,17,1.99,41,4,100000,0
"128",15380,17,1.99,41,4,100000,0
"129",82072,17,0,41,4,1000000,0
"130",1,35,0,34,4,10,0
"131",235,2.3,0,33,4,10000,0
"132",57,526,0,62,4,1000,0
"133",9110,8.3,0,67,4,100000,0
"134",1,24,0,43,4,500,0
"135",37843,3.3,0,33,4,500000,0
"136",17612,14,0,32,4,1000000,0
"137",75449,29,0,38,4,1000000,0
"138",43553,26,0,38,4,1000000,0
"139",74,30,0,44,4,10000,0
"140",667,8.4,0,43,4,10000,0
"141",316,9.1,0,33,5,50000,0
"142",41,3.9,0,33,5,5000,0
"143",2007,3.9,0,33,5,100000,0
"144",14419,4.8,0,33,5,1000000,0
"145",3947,4.9,0,33,5,500000,0
"146",20323,4.9,0,33,5,1000000,0
"147",97,3.9,0,33,5,5000,0
"148",221,4,0,33,5,10000,0
"149",463,7.1,0,61,2,50000,0
"150",343464,25.2706629055007,0,33,4.14285714285714,10000000,0
"151",3717,73,0,33,5,100000,0
"152",78,34,0,39,4,5000,0
"153",948,20,0,33,5,10000,0
"154",300,17,0,33,5,10000,0
"155",4815,14,0,38,4,500000,0
"156",8,14,0,36,4,500,0
"157",43,54,0,39,5,5000,0
"158",2629,67,0,33,4,100000,0
"159",431,10,0,38,5,10000,0
"160",34615,11,0,32,4,1000000,0
"161",22089,11,0,33,4,1000000,3
"162",876,2.6,0,57,4,50000,0
"163",64323,29,0,33,4,5000000,1
"164",501291,12,0,34,4,10000000,0
"165",151687,14,0,33,5,10000000,0
"166",98020,31,0,33,4,10000000,0
"167",2978,9.8,0,64,2,100000,0
"168",3116,50,0,32,5,100000,0
"169",144,19,0,33,4,10000,0
"170",8376,6.9,0,57,2,1000000,0
"171",7743,11,0,33,4,100000,0
"172",48642,50,0,36,6,1000000,0
"173",109,55,0,40,4,10000,1
"174",18395,25.2706629055007,0,37,4.14285714285714,1000000,1
"175",730,28,0,35,5,50000,0
"176",1029,9.4,0,32,4,100000,0
"177",315,14,0,35,4,100000,0
"178",613,24,0,33,6,50000,0
"179",3115,41,0,33,4,100000,0
"180",5865,35,0,34,7,100000,0
"181",73771,25.2706629055007,0,33,4,100000000,0
"182",108137,14,0,33,4,5000000,0
"183",748,16,0,33,4,100000,0
"184",114575,69,0,32,5,5000000,0
"185",41548,69,0,32,5,1000000,0
"186",23604,25.2706629055007,0,43,4.14285714285714,5000000,0
"187",627,87,0,33,4,100000,0
"188",1430,97,0,38,4,100000,0
"189",32409,25.2706629055007,0,38,5,1000000,0
"190",181099,25.2706629055007,0,33,4.14285714285714,1000000,0
"191",79424,25.2706629055007,0,32,4.14285714285714,1000000,0
"192",22506,25,0,33,4,10000000,0
"193",28545,17,0,33,5,500000,0
"194",329031,13,0,34,4,10000000,0
"195",1947,38,0,34,5,100000,0
"196",28657,56,0,32,4,1000000,0
"197",2770,26,0,33,4,100000,3
"198",21247,15,0,76,4,1000000,0
"199",723,34,0,35,4,100000,1
"200",7070,84,0,33,4,500000,0
"201",2418,53,0,33,4,100000,0
"202",19235,42,0,33,4,1000000,0
"203",42242,59,0,42,4,1000000,0
"204",11,14,0,33,5,5000,0
"205",6,8.7,0,43,4,1000,0
"206",9,14,7.49,46,4,500,0
"207",936,3.3,0,33,4,50000,0
"208",3043,7.5,0,33,4,500000,0
"209",21951,11,0,33,6,1000000,0
"210",6390,46,0,42,4,100000,0
"211",118,6.3,0,38,4,50000,0
"212",15642,25.2706629055007,0,46,4.14285714285714,1000000,0
"213",4668,24,0,33,4,100000,0
"214",8138,13,0,33,4,500000,0
"215",28275,25.2706629055007,0,32,4.14285714285714,1000000,0
"216",9354,14,0,33,5,1000000,0
"217",8687,25.2706629055007,0,34,4.14285714285714,1000000,0
"218",122239,61,0,33,4,10000000,0
"219",851,6.4,0,41,4,100000,0
"220",1493,3.9,0,34,5,100000,0
"221",77,10,0,41,4,1000,0
"222",1222,89,0,33,4,100000,0
"223",103,4.6,2.99,33,4,5000,0
"224",254,2.3,0,39,2,10000,0
"225",748,72,0,33,4,100000,0
"226",620,2.1,0,37,5,100000,0
"227",5674,39,0,33,4,100000,0
"228",347512,68,0,33,4,10000000,0
"229",1230,20,0,40,4,100000,0
"230",32594,32,0,32,4,1000000,0
"231",858492,52,0,33,4,10000000,0
"232",208,9.3,0,36,4,100000,0
"233",1231,10,0,33,4,50000,0
"234",6676,3.5,0,32,4,500000,0
"235",56266,10,0,34,4,1000000,0
"236",6996,5.6,0,34,5,500000,0
"237",62164,12,0,33,3,1000000,0
"238",54934,949,0,42,4,1000000,0
"239",112484,25.2706629055007,0,32,4,5000000,0
"240",1269,27,0,32,5,100000,0
"241",37,6.2,0,33,4,10000,0
"242",2014,11,0,35,4,100000,0
"243",13861,23,0,33,4,1000000,0
"244",2204,14,0,33,4,100000,0
"245",14969,6.8,0,34,4,1000000,0
"246",17129,14,3.49,33,4,100000,0
"247",33117,3.6,0,44,4,500000,0
"248",6658,40,0,35,4,500000,0
"249",9497,94,0,39,4,100000,0
"250",17500,10,0,33,4,1000000,0
"251",10011,40,0,34,5,1000000,0
"252",155,2.3,0,55,4,10000,0
"253",14888,34,0,58,4,500000,0
"254",2212,25.2706629055007,0,33,4,1000000,0
"255",2,74,0,33,4,100,0
"256",2,82,0,33,4,100,0
"257",42,77,0,33,4,1000,0
"258",6,75,0,33,4,500,0
"259",6,75,0,33,4,500,0
"260",572,20,0,70,4,100000,0
"261",464,37,0,35,5,50000,0
"262",870,41,0,35,5,100000,0
"263",316,47,0,33,5,10000,0
"264",1407,36,0,40,5,100000,0
"265",3587,27,0,33,4,100000,0
"266",8025,25,0,33,5,100000,0
"267",1058,11,0,34,4,50000,0
"268",11251,37,0,33,4,1000000,0
"269",198063,25.2706629055007,0,33,4.14285714285714,10000000,0
"270",3246,28,0,65,3,500000,0
"271",231,17,4.99,85,2,5000,0
"272",47,29,0,89,2,5000,0
"273",38,27,4.99,96,3,1000,0
"274",16746,13,0,33,4,1000000,0
"275",302,1.8,0,40,4,10000,0
"276",31,194,0,98,1,5000,0
"277",29401,22,0,32,4,1000000,0
"278",16516,26,0,35,4,1000000,0
"279",2,11,0,39,4,100,0
"280",7492,26,0,33,5,100000,0
"281",11725,56,0,33,4,500000,0
"282",9148,7.1,0,43,4,1000000,0
"283",5520,7.1,0,33,5,100000,0
"284",14265,84,0,33,5,1000000,0
"285",8688,63,0,33,5,1000000,0
"286",4,7.2,0,39,4,500,0
"287",21103,10,0,38,4,500000,0
"288",63857,19,0,34,4,1000000,0
"289",181,8.3,0,35,4,10000,0
"290",97,60,0,34,4,5000,0
"291",392,30,0,32,4,100000,0
"292",11091,26,0,33,4,100000,0
"293",6139,25.2706629055007,0,51,4.14285714285714,1000000,0
"294",583,32,0,34,8,100000,0
"295",65,18,0,33,4,10000,0
"296",4545,44,0,78,3,100000,0
"297",2111,2.4,0,34,4,10000,0
"298",4639,7.5,0,33,5,100000,0
"299",3106,7.4,0,33,4,500000,0
"300",6757,3.6,0,33,5,100000,0
"301",6691,13,0,33,5,100000,0
"302",735,12,2,33,5,5000,0
"303",8883,7.1,0,33,4,100000,0
"304",3468,25.2706629055007,0,34,4.14285714285714,500000,0
"305",5756,25.2706629055007,0,34,4.14285714285714,100000,0
"306",36019,43,0,33,5,1000000,1
"307",2749,24,0,33,4,100000,0
"308",265,46,0,34,5,10000,0
"309",339763,11,0,37,4,10000000,0
"310",66200,8.3,0,37,5,1000000,0
"311",154739,12,0,66,4,10000000,0
"312",7,63,0,57,4,1000,0
"313",154166,9.9,0,33,4,10000000,0
"314",177988,15,0,33,4,5000000,2
"315",33104,14,0,36,4,5000000,1
"316",24,27,0,33,4,50000,0
"317",71,8.9,0,35,4,100000,0
"318",74874,25.2706629055007,0,34,4.14285714285714,1000000,0
"319",6697,34,0,41,4,100000,0
"320",3499,3.6,0,33,5,100000,0
"321",23,41,0,50,4,5000,0
"322",189,16,0,33,2,10000,0
"323",28,24,0,33,4,100,0
"324",239,12,0,33,4,50000,0
"325",728,22,0,34,5,10000,0
"326",5633,25.2706629055007,0,34,5,100000,0
"327",768,15,4.49,34,4,10000,0
"328",305,27,4.99,37,4,10000,0
"329",1385,23,0,38,4,100000,0
"330",2287,6.3,0,36,4,100000,1
"331",1517,40,0,34,5,100000,0
"332",1995,13,0,35,4,500000,0
"333",6,20,0,35,4,5000,0
"334",127,13,0,34,4,50000,0
"335",28,11,0,42,4,10000,0
"336",495,2.4,0,37,6,100000,0
"337",1156,13,0,33,4,100000,0
"338",13,12,0,36,4,1000,0
"339",1044,9.2,0,34,4,50000,0
"340",6,11,0,36,4,5000,0
"341",86,13,0,36,4,50000,0
"342",19087,59,0,33,4,1000000,0
"343",17293,25.2706629055007,0,33,5,1000000,0
"344",304,2.4,0,36,4,5000,0
"345",2438,4.4,0,33,4,100000,0
"346",6656,20,0,32,4.14285714285714,1000000,0
"347",260,18,0,33,5,10000,0
"348",1319,32,0,33,4,50000,0
"349",4239,29,0,33,5,50000,0
"350",9087,16,5.99,33,4,50000,0
"351",110,30,0,34,4,1000,0
"352",2387,3.7,0,32,5,100000,0
"353",4177,15,0,33,4,100000,0
"354",3201,24,0,33,4,100000,0
"355",2398,19,0,33,4,100000,0
"356",4709,25.2706629055007,0,51,4.14285714285714,500000,0
"357",1418,25.2706629055007,0,33,4.14285714285714,100000,0
"358",12927,29,0,33,5,1000000,0
"359",290,6.3,0,36,4,50000,0
"360",8,2.4,0,37,6,1000,0
"361",38,46,0,33,4,5000,0
"362",14163,8.3,0,34,4,500000,0
"363",196,6.7,0,36,4,100000,0
"364",44722,25.2706629055007,0,33,4.14285714285714,1000000,0
"365",1370,58,0,41,6,50000,0
"366",13692,38,0,41,4,1000000,0
"367",6105,2.3,0,32,4,500000,0
"368",43773,3.6,0,33,4,1000000,0
"369",340580,6.1,0,34,4,10000000,0
"370",246914,25.2706629055007,0,35,4.14285714285714,10000000,0
"371",2481,5.6,4.99,34,5,10000,0
"372",5,18,0.99,39,4,50,0
